image_id,keyword,image_url,local_path,fetch_time,game_type
lol_ec3b0ac4f201801c,LOL 五杀 游戏截图,https://i2.hdslb.com/bfs/archive/71333c5f97547498609e10e6d440c39ddf8ea303.jpg,data_acquisition/raw_images/lol/lol_ec3b0ac4f201801c.jpg,2026-07-25T11:38:21+08:00,LOL
lol_7e1559c90a0598af,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/archive/31ecf53ba65d3d84e9583d5a7cb13f7c80d9adae.jpg,data_acquisition/raw_images/lol/lol_7e1559c90a0598af.jpg,2026-07-25T11:38:23+08:00,LOL
lol_01f86e5a9d91af8c,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/archive/fc52f5d228a4627e5c7ddda270c8dcba1dea41b3.jpg,data_acquisition/raw_images/lol/lol_01f86e5a9d91af8c.jpg,2026-07-25T11:38:23+08:00,LOL
lol_4d373c52e9e30f37,LOL 五杀 游戏截图,"https://img2.baidu.com/it/u=2271672986,308760896&fm=253&fmt=auto&app=138&f=JPEG?w=1422&h=800",data_acquisition/raw_images/lol/lol_4d373c52e9e30f37.jpg,2026-07-25T11:38:27+08:00,LOL
lol_422475966d6ed614,LOL 五杀 游戏截图,https://i1.hdslb.com/bfs/archive/c26bdfc730fa4f358ee1680cd178429b4ed79dab.jpg,data_acquisition/raw_images/lol/lol_422475966d6ed614.jpg,2026-07-25T11:38:28+08:00,LOL
lol_87821a7ff1a77365,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/archive/3688bfc0559e1ffe54640d4c668067ef3c11f4bb.jpg,data_acquisition/raw_images/lol/lol_87821a7ff1a77365.jpg,2026-07-25T11:38:29+08:00,LOL
lol_bff7dbf1c37941d2,LOL 五杀 游戏截图,https://i1.hdslb.com/bfs/archive/69a23601eb0d00e5c396d80c817f53b243924787.jpg,data_acquisition/raw_images/lol/lol_bff7dbf1c37941d2.jpg,2026-07-25T11:38:31+08:00,LOL
lol_64ece09b7899a785,LOL 五杀 游戏截图,https://i1.hdslb.com/bfs/archive/19818bf2b99d3b5774d320dc057e4b30442658db.jpg,data_acquisition/raw_images/lol/lol_64ece09b7899a785.jpg,2026-07-25T11:38:31+08:00,LOL
lol_2de6af49b04bd79f,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/e99f42db4d51cfba3ad0d52866f78088437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_2de6af49b04bd79f.jpg,2026-07-25T11:38:31+08:00,LOL
lol_f2d01ffbff7924d4,LOL 五杀 游戏截图,https://i2.hdslb.com/bfs/archive/8f027136d0fa7af348461ec7a2f8fed478b0617a.jpg,data_acquisition/raw_images/lol/lol_f2d01ffbff7924d4.jpg,2026-07-25T11:38:31+08:00,LOL
lol_8579ee8dfd184072,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/4a44288191fae2bca8860b354d0bf0dd437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_8579ee8dfd184072.jpg,2026-07-25T11:38:32+08:00,LOL
lol_841ae844557304e6,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/b765a3752507a8003c34e1da361f202e437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_841ae844557304e6.jpg,2026-07-25T11:38:32+08:00,LOL
lol_73d678ba1d2c60d4,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/ec6fbb53b73389dd3e7806603ab68024437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_73d678ba1d2c60d4.jpg,2026-07-25T11:38:35+08:00,LOL
lol_fd85ba50a89c1279,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/31e92e977e7c924313dc95c795dfa4c5437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_fd85ba50a89c1279.jpg,2026-07-25T11:38:35+08:00,LOL
lol_af57f89ece99456b,LOL 五杀 游戏截图,"https://img1.baidu.com/it/u=1660463282,4185848805&fm=253&fmt=auto&app=138&f=JPEG?w=1778&h=800",data_acquisition/raw_images/lol/lol_af57f89ece99456b.jpg,2026-07-25T11:38:37+08:00,LOL
lol_87bfbea0e5de14a6,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/dd50867367948f9ca1d8dc408a1ec0a1437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_87bfbea0e5de14a6.jpg,2026-07-25T11:38:37+08:00,LOL
lol_96391197fd48040c,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/11e6772726f770349c19cadb996030ee437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_96391197fd48040c.jpg,2026-07-25T11:38:38+08:00,LOL
lol_468835ab18bf8702,LOL 五杀 游戏截图,https://pic.rmb.bdstatic.com/bjh/58cb77329914e15b37f86fe531a05e65.jpeg@h_1280,data_acquisition/raw_images/lol/lol_468835ab18bf8702.jpg,2026-07-25T11:38:38+08:00,LOL
lol_0267aa56815a1f70,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/9eb5426c85ad3967374b05c37ed3b114437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_0267aa56815a1f70.jpg,2026-07-25T11:38:39+08:00,LOL
lol_71fd5896d8537b49,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/d9b6d1d041e14ca7889c70b6ccd5ee37437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_71fd5896d8537b49.jpg,2026-07-25T11:38:39+08:00,LOL
lol_bfb0ead83384e3f3,LOL 五杀 游戏截图,https://i2.hdslb.com/bfs/archive/edc1a9f78b5c0c7b7cfbf76f03f266dd1693c8d4.jpg,data_acquisition/raw_images/lol/lol_bfb0ead83384e3f3.jpg,2026-07-25T11:38:39+08:00,LOL
lol_6c9bd7c4ef1e1a03,LOL 五杀 游戏截图,https://i0.hdslb.com/bfs/article/6df29349ff9c2ea1967368fd2f888071437911922.jpg@1192w.webp,data_acquisition/raw_images/lol/lol_6c9bd7c4ef1e1a03.jpg,2026-07-25T11:38:40+08:00,LOL
